Tweet,Sarcasm (yes/no)
Can't wait for more of the workshop.,no
I find musicians to be wonderful.,no
engineers have always been great.,no
Nothing better than a the meal moment.,yes
Had a great time with the game.,no
"Had a scientists, best experience ever. Not.",yes
Because scientists really make everything better.,yes
I find the game to be wonderful.,no
Can't wait for more of the concert.,no
Nothing better than a my new phone moment.,yes
artists are genuinely amazing.,no
I just love when this movie happens.,yes
"Oh great, another the concert. Just what I needed.",yes
the game are truly inspiring.,no
I genuinely love doctors.,no
"Had a engineers, best experience ever. Not.",yes
"Had a scientists, best experience ever. Not.",yes
"artists are so wonderful, said no one ever.",yes
I just love when artists happens.,yes
Had a great time with musicians.,no
"Had a the meal, best experience ever. Not.",yes
Nothing better than a the meal moment.,yes
"the conference are so wonderful, said no one ever.",yes
"Oh great, another vegetarians. Just what I needed.",yes
Can't wait for more of the meal.,no
Had a great time with athletes.,no
I just love when the workshop happens.,yes
Because the game really make everything better.,yes
"this book are so wonderful, said no one ever.",yes
"Everyone loves the meal, right?",yes
Can't wait for more of engineers.,no
Can't wait for more of the conference.,no
writers have always been great.,no
Because artists really make everything better.,yes
I just love when this movie happens.,yes
Had a great time with musicians.,no
I genuinely love the concert.,no
Because the workshop really make everything better.,yes
Can't wait for more of the conference.,yes
"the game are so wonderful, said no one ever.",yes
Because engineers really make everything better.,yes
Because this book really make everything better.,yes
Can't wait for more of the workshop.,no
I just love when vegetarians happens.,yes
"Had a doctors, best experience ever. Not.",yes
"Everyone loves the meal, right?",yes
the game have always been great.,no
Because the meal really make everything better.,yes
Nothing better than a writers moment.,yes
I am always excited for vegetarians.,no
I genuinely love vegetarians.,no
artists are truly inspiring.,no
I just love when the conference happens.,yes
Had a great time with this book.,no
"Oh great, another scientists. Just what I needed.",yes
"Had a vegetarians, best experience ever. Not.",yes
the concert are genuinely amazing.,no
Because the concert really make everything better.,yes
Had a great time with musicians.,no
Can't wait for more of the meal.,no
"Everyone loves my new phone, right?",yes
Can't wait for more of artists.,yes
"Everyone loves the concert, right?",yes
I genuinely love the concert.,no
Can't wait for more of musicians.,yes
scientists have always been great.,no
"Had a vegetarians, best experience ever. Not.",yes
the workshop are truly inspiring.,no
Can't wait for more of vegetarians.,no
artists are genuinely amazing.,no
Nothing better than a my new phone moment.,yes
Can't wait for more of scientists.,yes
Because writers really make everything better.,yes
Can't wait for more of engineers.,no
"the concert are so wonderful, said no one ever.",yes
I genuinely love artists.,no
I am always excited for artists.,no
Had a great time with writers.,no
Had a great time with the concert.,no
this book are genuinely amazing.,no
"Oh great, another this movie. Just what I needed.",yes
the game are genuinely amazing.,no
I am always excited for this book.,no
writers are genuinely amazing.,no
Can't wait for more of this book.,no
I am always excited for engineers.,no
I find musicians to be wonderful.,no
Nothing better than a the workshop moment.,yes
vegetarians are genuinely amazing.,no
I just love when athletes happens.,yes
Can't wait for more of the meal.,yes
"the conference are so wonderful, said no one ever.",yes
"Everyone loves the meal, right?",yes
"Oh great, another artists. Just what I needed.",yes
engineers have always been great.,no
"Had a my new phone, best experience ever. Not.",yes
"Everyone loves doctors, right?",yes
Can't wait for more of writers.,yes
"Oh great, another my new phone. Just what I needed.",yes
Nothing better than a this book moment.,yes
the concert have always been great.,no
I genuinely love the game.,no
Can't wait for more of this book.,no
Because the meal really make everything better.,yes
the concert have always been great.,no
I genuinely love my new phone.,no
"Oh great, another vegetarians. Just what I needed.",yes
I just love when the conference happens.,yes
the workshop are genuinely amazing.,no
I find writers to be wonderful.,no
Can't wait for more of musicians.,yes
I find writers to be wonderful.,no
Nothing better than a the workshop moment.,yes
"doctors are so wonderful, said no one ever.",yes
I just love when the workshop happens.,yes
the meal are genuinely amazing.,no
"Had a this movie, best experience ever. Not.",yes
this book are genuinely amazing.,no
"Everyone loves doctors, right?",yes
I genuinely love this movie.,no
I am always excited for the workshop.,no
"Everyone loves engineers, right?",yes
Because this book really make everything better.,yes
"Oh great, another my new phone. Just what I needed.",yes
Can't wait for more of musicians.,yes
Had a great time with engineers.,no
the conference are truly inspiring.,no
I just love when the game happens.,yes
Nothing better than a scientists moment.,yes
Because the conference really make everything better.,yes
the game have always been great.,no
I find artists to be wonderful.,no
doctors have always been great.,no
I just love when engineers happens.,yes
"Oh great, another the meal. Just what I needed.",yes
Can't wait for more of the workshop.,no
Can't wait for more of artists.,no
I am always excited for the conference.,no
the conference are truly inspiring.,no
I genuinely love this book.,no
"Oh great, another musicians. Just what I needed.",yes
I genuinely love the game.,no
writers are truly inspiring.,no
Because scientists really make everything better.,yes
my new phone are truly inspiring.,no
writers are truly inspiring.,no
I genuinely love this movie.,no
"the conference are so wonderful, said no one ever.",yes
"Had a the concert, best experience ever. Not.",yes
Can't wait for more of doctors.,no
I just love when the concert happens.,yes
"Everyone loves this book, right?",yes
I find my new phone to be wonderful.,no
I genuinely love this movie.,no
Can't wait for more of artists.,yes
"Had a this book, best experience ever. Not.",yes
the concert are truly inspiring.,no
Had a great time with the meal.,no
Can't wait for more of artists.,yes
engineers are genuinely amazing.,no
I genuinely love the workshop.,no
"Had a my new phone, best experience ever. Not.",yes
I am always excited for this movie.,no
I just love when vegetarians happens.,yes
I just love when vegetarians happens.,yes
Because engineers really make everything better.,yes
"Everyone loves the workshop, right?",yes
Can't wait for more of this book.,yes
Nothing better than a the workshop moment.,yes
"Had a athletes, best experience ever. Not.",yes
the workshop are truly inspiring.,no
the concert are truly inspiring.,no
Had a great time with the concert.,no
Had a great time with musicians.,no
Nothing better than a musicians moment.,yes
Can't wait for more of the game.,yes
my new phone are truly inspiring.,no
I find writers to be wonderful.,no
I find artists to be wonderful.,no
I just love when vegetarians happens.,yes
I find this book to be wonderful.,no
the workshop have always been great.,no
Can't wait for more of writers.,yes
I just love when the workshop happens.,yes
I genuinely love this movie.,no
"Everyone loves the concert, right?",yes
"Everyone loves this book, right?",yes
artists have always been great.,no
I just love when scientists happens.,yes
this book are truly inspiring.,no
scientists are genuinely amazing.,no
Nothing better than a my new phone moment.,yes
scientists are genuinely amazing.,no
musicians have always been great.,no
engineers are genuinely amazing.,no
"Everyone loves the meal, right?",yes
I just love when doctors happens.,yes
scientists are genuinely amazing.,no
I am always excited for scientists.,no
my new phone have always been great.,no
Had a great time with vegetarians.,no
Because the game really make everything better.,yes
Because artists really make everything better.,yes
I am always excited for vegetarians.,no
I genuinely love engineers.,no
I genuinely love musicians.,no
Can't wait for more of doctors.,no
"the meal are so wonderful, said no one ever.",yes
"this movie are so wonderful, said no one ever.",yes
Nothing better than a musicians moment.,yes
Because engineers really make everything better.,yes
I am always excited for doctors.,no
I just love when writers happens.,yes
the conference are truly inspiring.,no
I find this movie to be wonderful.,no
I am always excited for the concert.,no
Because the game really make everything better.,yes
"scientists are so wonderful, said no one ever.",yes
I find this movie to be wonderful.,no
I find the conference to be wonderful.,no
I genuinely love this book.,no
"Oh great, another this book. Just what I needed.",yes
Because the concert really make everything better.,yes
I am always excited for writers.,no
Had a great time with the meal.,no
I genuinely love the workshop.,no
Because the meal really make everything better.,yes
I find my new phone to be wonderful.,no
Had a great time with the meal.,no
"Had a musicians, best experience ever. Not.",yes
"athletes are so wonderful, said no one ever.",yes
Can't wait for more of engineers.,no
I find the concert to be wonderful.,no
"Oh great, another doctors. Just what I needed.",yes
"Oh great, another this book. Just what I needed.",yes
Can't wait for more of vegetarians.,no
Can't wait for more of the conference.,no
Had a great time with the conference.,no
this book are genuinely amazing.,no
I am always excited for this movie.,no
Can't wait for more of this book.,no
Because the meal really make everything better.,yes
"Had a musicians, best experience ever. Not.",yes
"Had a athletes, best experience ever. Not.",yes
Nothing better than a scientists moment.,yes
vegetarians have always been great.,no
"Oh great, another this book. Just what I needed.",yes
I genuinely love the concert.,no
Can't wait for more of my new phone.,yes
Can't wait for more of artists.,yes
Can't wait for more of artists.,no
Can't wait for more of the concert.,yes
Can't wait for more of doctors.,no
Had a great time with the workshop.,no
I am always excited for athletes.,no
Nothing better than a this book moment.,yes
Had a great time with the concert.,no
my new phone have always been great.,no
"writers are so wonderful, said no one ever.",yes
I genuinely love scientists.,no
Can't wait for more of the meal.,yes
"Had a writers, best experience ever. Not.",yes
Can't wait for more of athletes.,no
"engineers are so wonderful, said no one ever.",yes
Nothing better than a scientists moment.,yes
Can't wait for more of the concert.,no
I just love when doctors happens.,yes
"Had a the meal, best experience ever. Not.",yes
"Had a this movie, best experience ever. Not.",yes
Had a great time with vegetarians.,no
"Everyone loves the concert, right?",yes
"Had a the workshop, best experience ever. Not.",yes
I genuinely love this movie.,no
"Had a the workshop, best experience ever. Not.",yes
Can't wait for more of writers.,no
Can't wait for more of scientists.,yes
artists are truly inspiring.,no
"Had a the meal, best experience ever. Not.",yes
I just love when writers happens.,yes
Can't wait for more of writers.,yes
Had a great time with doctors.,no
this book are truly inspiring.,no
I find the conference to be wonderful.,no
"Oh great, another athletes. Just what I needed.",yes
"doctors are so wonderful, said no one ever.",yes
I just love when the workshop happens.,yes
I am always excited for my new phone.,no
scientists are genuinely amazing.,no
I genuinely love the conference.,no
"Had a this book, best experience ever. Not.",yes
musicians are genuinely amazing.,no
I am always excited for musicians.,no
this movie are truly inspiring.,no
"my new phone are so wonderful, said no one ever.",yes
doctors are genuinely amazing.,no
Can't wait for more of artists.,no
artists have always been great.,no
Because the conference really make everything better.,yes
"Everyone loves writers, right?",yes
Because musicians really make everything better.,yes
"the conference are so wonderful, said no one ever.",yes
"Oh great, another doctors. Just what I needed.",yes
Because the concert really make everything better.,yes
I find the meal to be wonderful.,no
Had a great time with scientists.,no
Nothing better than a the conference moment.,yes
I just love when the game happens.,yes
I genuinely love athletes.,no
I genuinely love this movie.,no
Had a great time with the workshop.,no
"musicians are so wonderful, said no one ever.",yes
"Oh great, another doctors. Just what I needed.",yes
"Oh great, another the concert. Just what I needed.",yes
Because doctors really make everything better.,yes
"Oh great, another athletes. Just what I needed.",yes
the concert are truly inspiring.,no
"Oh great, another athletes. Just what I needed.",yes
Nothing better than a musicians moment.,yes
Can't wait for more of artists.,yes
Because this movie really make everything better.,yes
"Had a doctors, best experience ever. Not.",yes
"Everyone loves doctors, right?",yes
"Everyone loves doctors, right?",yes
"Oh great, another musicians. Just what I needed.",yes
"Had a writers, best experience ever. Not.",yes
Because my new phone really make everything better.,yes
artists are truly inspiring.,no
the conference are truly inspiring.,no
Because this movie really make everything better.,yes
Nothing better than a athletes moment.,yes
"Everyone loves vegetarians, right?",yes
engineers are genuinely amazing.,no
doctors are truly inspiring.,no
"Everyone loves writers, right?",yes
"Everyone loves this book, right?",yes
scientists are genuinely amazing.,no
athletes have always been great.,no
"athletes are so wonderful, said no one ever.",yes
"Everyone loves writers, right?",yes
"Had a doctors, best experience ever. Not.",yes
I find my new phone to be wonderful.,no
I just love when the concert happens.,yes
my new phone are truly inspiring.,no
artists have always been great.,no
the workshop have always been great.,no
athletes have always been great.,no
"Oh great, another athletes. Just what I needed.",yes
musicians are genuinely amazing.,no
Can't wait for more of my new phone.,yes
the conference are truly inspiring.,no
athletes have always been great.,no
I genuinely love doctors.,no
Can't wait for more of writers.,no
I am always excited for scientists.,no
athletes are genuinely amazing.,no
musicians have always been great.,no
"doctors are so wonderful, said no one ever.",yes
I just love when the concert happens.,yes
Because the conference really make everything better.,yes
I find engineers to be wonderful.,no
musicians are truly inspiring.,no
Had a great time with this book.,no
Can't wait for more of writers.,no
engineers are genuinely amazing.,no
Had a great time with engineers.,no
Can't wait for more of the concert.,yes
I find the conference to be wonderful.,no
"Everyone loves writers, right?",yes
Can't wait for more of athletes.,yes
I am always excited for the conference.,no
Can't wait for more of athletes.,no
this book have always been great.,no
Had a great time with the game.,no
Had a great time with scientists.,no
"this movie are so wonderful, said no one ever.",yes
Because my new phone really make everything better.,yes
"Oh great, another vegetarians. Just what I needed.",yes
artists are genuinely amazing.,no
athletes are genuinely amazing.,no
Can't wait for more of writers.,yes
Had a great time with vegetarians.,no
"the game are so wonderful, said no one ever.",yes
I am always excited for athletes.,no
I am always excited for vegetarians.,no
Because athletes really make everything better.,yes
I am always excited for the concert.,no
"Everyone loves vegetarians, right?",yes
I just love when this book happens.,yes
I find doctors to be wonderful.,no
Because the conference really make everything better.,yes
"Oh great, another the concert. Just what I needed.",yes
Can't wait for more of the game.,no
I am always excited for athletes.,no
I find the game to be wonderful.,no
"Everyone loves athletes, right?",yes
scientists are truly inspiring.,no
I find the concert to be wonderful.,no
Because engineers really make everything better.,yes
the concert are truly inspiring.,no
I find this movie to be wonderful.,no
I find engineers to be wonderful.,no
Nothing better than a vegetarians moment.,yes
"Everyone loves the workshop, right?",yes
I genuinely love writers.,no
this book have always been great.,no
engineers have always been great.,no
doctors are truly inspiring.,no
"Had a this movie, best experience ever. Not.",yes
Can't wait for more of this book.,no
this book are genuinely amazing.,no
the workshop are truly inspiring.,no
Nothing better than a this book moment.,yes
I just love when the concert happens.,yes
I genuinely love the conference.,no
Nothing better than a athletes moment.,yes
this book are truly inspiring.,no
scientists are truly inspiring.,no
Because musicians really make everything better.,yes
I am always excited for the meal.,no
Nothing better than a the meal moment.,yes
writers are genuinely amazing.,no
Can't wait for more of musicians.,no
I find this book to be wonderful.,no
"Had a the meal, best experience ever. Not.",yes
"Oh great, another doctors. Just what I needed.",yes
Because athletes really make everything better.,yes
"Everyone loves the meal, right?",yes
I genuinely love the concert.,no
"Oh great, another engineers. Just what I needed.",yes
"the workshop are so wonderful, said no one ever.",yes
Because the game really make everything better.,yes
"the game are so wonderful, said no one ever.",yes
"Oh great, another the workshop. Just what I needed.",yes
I genuinely love scientists.,no
Nothing better than a my new phone moment.,yes
vegetarians are genuinely amazing.,no
I am always excited for scientists.,no
I just love when the workshop happens.,yes
I genuinely love the concert.,no
Can't wait for more of doctors.,yes
"Everyone loves the workshop, right?",yes
"artists are so wonderful, said no one ever.",yes
the game are truly inspiring.,no
"Oh great, another this movie. Just what I needed.",yes
the game are genuinely amazing.,no
"Oh great, another this movie. Just what I needed.",yes
Can't wait for more of writers.,no
I genuinely love musicians.,no
I just love when the workshop happens.,yes
Because my new phone really make everything better.,yes
"Everyone loves scientists, right?",yes
Can't wait for more of this movie.,no
"Had a engineers, best experience ever. Not.",yes
"this book are so wonderful, said no one ever.",yes
"engineers are so wonderful, said no one ever.",yes
doctors are genuinely amazing.,no
"Everyone loves artists, right?",yes
Nothing better than a the meal moment.,yes
"Everyone loves musicians, right?",yes
Can't wait for more of engineers.,no
I am always excited for the game.,no
I am always excited for the workshop.,no
"Everyone loves this book, right?",yes
Nothing better than a the game moment.,yes
"Had a writers, best experience ever. Not.",yes
"Everyone loves writers, right?",yes
writers have always been great.,no
scientists are genuinely amazing.,no
Can't wait for more of the game.,yes
"Oh great, another the game. Just what I needed.",yes
"Had a the game, best experience ever. Not.",yes
I genuinely love scientists.,no
Can't wait for more of the meal.,no
I just love when the game happens.,yes
Had a great time with this movie.,no
I genuinely love writers.,no
"my new phone are so wonderful, said no one ever.",yes
Can't wait for more of engineers.,no
"Had a the workshop, best experience ever. Not.",yes
scientists are truly inspiring.,no
I just love when engineers happens.,yes
"writers are so wonderful, said no one ever.",yes
Had a great time with doctors.,no
Had a great time with the workshop.,no
the workshop have always been great.,no
"Everyone loves doctors, right?",yes
Nothing better than a doctors moment.,yes
"my new phone are so wonderful, said no one ever.",yes
"Oh great, another artists. Just what I needed.",yes
athletes are genuinely amazing.,no
"Oh great, another the workshop. Just what I needed.",yes
"Had a the meal, best experience ever. Not.",yes
Had a great time with the game.,no
Had a great time with artists.,no
Can't wait for more of doctors.,no
Had a great time with scientists.,no
Because athletes really make everything better.,yes
"Had a writers, best experience ever. Not.",yes
I genuinely love engineers.,no
I find this book to be wonderful.,no
"Had a the meal, best experience ever. Not.",yes
Can't wait for more of the conference.,yes
athletes are genuinely amazing.,no
engineers are truly inspiring.,no
Had a great time with this book.,no
Had a great time with scientists.,no
scientists have always been great.,no
Can't wait for more of vegetarians.,yes
Can't wait for more of the concert.,yes
the conference are truly inspiring.,no
Had a great time with vegetarians.,no
"Everyone loves doctors, right?",yes
"Everyone loves this book, right?",yes
I genuinely love writers.,no
I just love when the game happens.,yes
Had a great time with this movie.,no
I genuinely love artists.,no
the game have always been great.,no
"the meal are so wonderful, said no one ever.",yes
I am always excited for the conference.,no
I just love when the workshop happens.,yes
Can't wait for more of this book.,yes
"Oh great, another engineers. Just what I needed.",yes
Can't wait for more of artists.,yes
I find the concert to be wonderful.,no
the game are truly inspiring.,no
I genuinely love my new phone.,no
"artists are so wonderful, said no one ever.",yes
I find athletes to be wonderful.,no
writers are truly inspiring.,no
my new phone have always been great.,no
Had a great time with musicians.,no
the game are genuinely amazing.,no
"Had a scientists, best experience ever. Not.",yes
"this movie are so wonderful, said no one ever.",yes
I find the workshop to be wonderful.,no
"writers are so wonderful, said no one ever.",yes
I find doctors to be wonderful.,no
I genuinely love this book.,no
Had a great time with engineers.,no
Nothing better than a doctors moment.,yes
Because musicians really make everything better.,yes
"Everyone loves doctors, right?",yes
Had a great time with vegetarians.,no
engineers are genuinely amazing.,no
"Had a the game, best experience ever. Not.",yes
"Had a the workshop, best experience ever. Not.",yes
Had a great time with musicians.,no
Can't wait for more of the game.,no
the game are genuinely amazing.,no
Had a great time with my new phone.,no
Nothing better than a athletes moment.,yes
Can't wait for more of athletes.,yes
"Had a this book, best experience ever. Not.",yes
Can't wait for more of the meal.,no
Had a great time with my new phone.,no
I find doctors to be wonderful.,no
I find scientists to be wonderful.,no
Because my new phone really make everything better.,yes
the meal are truly inspiring.,no
Nothing better than a the meal moment.,yes
"Everyone loves writers, right?",yes
the concert have always been great.,no
Had a great time with my new phone.,no
"Oh great, another the meal. Just what I needed.",yes
Nothing better than a writers moment.,yes
I genuinely love the concert.,no
Had a great time with artists.,no
I am always excited for vegetarians.,no
I genuinely love vegetarians.,no
"Had a doctors, best experience ever. Not.",yes
this book are genuinely amazing.,no
I genuinely love this book.,no
the workshop are truly inspiring.,no
Had a great time with this book.,no
I find this movie to be wonderful.,no
Had a great time with athletes.,no
I just love when the workshop happens.,yes
scientists are genuinely amazing.,no
"Had a doctors, best experience ever. Not.",yes
I find scientists to be wonderful.,no
I just love when vegetarians happens.,yes
Can't wait for more of engineers.,yes
I am always excited for writers.,no
I find scientists to be wonderful.,no
Because this movie really make everything better.,yes
Nothing better than a this book moment.,yes
"Everyone loves athletes, right?",yes
I genuinely love the concert.,no
I genuinely love the workshop.,no
Can't wait for more of the workshop.,no
the game have always been great.,no
"Oh great, another vegetarians. Just what I needed.",yes
"Had a the conference, best experience ever. Not.",yes
Had a great time with engineers.,no
I find the workshop to be wonderful.,no
"writers are so wonderful, said no one ever.",yes
musicians are genuinely amazing.,no
Nothing better than a the game moment.,yes
vegetarians have always been great.,no
engineers are truly inspiring.,no
"Oh great, another scientists. Just what I needed.",yes
"Had a vegetarians, best experience ever. Not.",yes
the conference have always been great.,no
Can't wait for more of the workshop.,yes
Had a great time with the game.,no
Had a great time with the game.,no
the concert are truly inspiring.,no
Had a great time with the conference.,no
Can't wait for more of engineers.,yes
engineers are truly inspiring.,no
I just love when this book happens.,yes
I just love when artists happens.,yes
"Had a this movie, best experience ever. Not.",yes
Can't wait for more of athletes.,no
this book are genuinely amazing.,no
the game are truly inspiring.,no
"Had a writers, best experience ever. Not.",yes
"this movie are so wonderful, said no one ever.",yes
Nothing better than a vegetarians moment.,yes
Because vegetarians really make everything better.,yes
this book have always been great.,no
the meal are genuinely amazing.,no
artists are genuinely amazing.,no
"the meal are so wonderful, said no one ever.",yes
Because writers really make everything better.,yes
the workshop are genuinely amazing.,no
I am always excited for athletes.,no
Can't wait for more of artists.,no
"Oh great, another writers. Just what I needed.",yes
Had a great time with this movie.,no
I genuinely love doctors.,no
Nothing better than a the conference moment.,yes
Nothing better than a the conference moment.,yes
I just love when vegetarians happens.,yes
"Oh great, another doctors. Just what I needed.",yes
vegetarians are truly inspiring.,no
"Oh great, another my new phone. Just what I needed.",yes
Can't wait for more of the meal.,yes
Nothing better than a the meal moment.,yes
I just love when the game happens.,yes
Nothing better than a the concert moment.,yes
doctors are truly inspiring.,no
"Everyone loves the game, right?",yes
athletes are genuinely amazing.,no
the conference are genuinely amazing.,no
Nothing better than a scientists moment.,yes
I genuinely love the meal.,no
I am always excited for doctors.,no
Can't wait for more of this movie.,yes
I find this movie to be wonderful.,no
"vegetarians are so wonderful, said no one ever.",yes
I genuinely love artists.,no
"Everyone loves musicians, right?",yes
doctors are truly inspiring.,no
Can't wait for more of the meal.,no
"Oh great, another this movie. Just what I needed.",yes
"Oh great, another vegetarians. Just what I needed.",yes
"Oh great, another doctors. Just what I needed.",yes
I am always excited for this movie.,no
"Had a my new phone, best experience ever. Not.",yes
I just love when artists happens.,yes
Can't wait for more of engineers.,no
Can't wait for more of the concert.,no
"Had a the workshop, best experience ever. Not.",yes
Can't wait for more of artists.,no
"the game are so wonderful, said no one ever.",yes
the meal are truly inspiring.,no
I am always excited for writers.,no
"Everyone loves the meal, right?",yes
I am always excited for the meal.,no
"Had a the meal, best experience ever. Not.",yes
Because scientists really make everything better.,yes
"Oh great, another the meal. Just what I needed.",yes
doctors are truly inspiring.,no
Can't wait for more of the concert.,no
Can't wait for more of writers.,yes
I find the concert to be wonderful.,no
I genuinely love vegetarians.,no
I just love when this book happens.,yes
"Oh great, another artists. Just what I needed.",yes
I am always excited for this movie.,no
I am always excited for this book.,no
I genuinely love musicians.,no
I am always excited for the game.,no
scientists are truly inspiring.,no
I genuinely love artists.,no
Because this book really make everything better.,yes
"Oh great, another this movie. Just what I needed.",yes
Can't wait for more of vegetarians.,no
"Everyone loves doctors, right?",yes
I just love when this book happens.,yes
I just love when vegetarians happens.,yes
athletes have always been great.,no
Because the meal really make everything better.,yes
Can't wait for more of the meal.,yes
"Had a the meal, best experience ever. Not.",yes
Can't wait for more of the conference.,yes
I genuinely love scientists.,no
Nothing better than a artists moment.,yes
the workshop are truly inspiring.,no
"athletes are so wonderful, said no one ever.",yes
I just love when doctors happens.,yes
Can't wait for more of the game.,yes
Nothing better than a the conference moment.,yes
"the conference are so wonderful, said no one ever.",yes
Can't wait for more of vegetarians.,yes
"engineers are so wonderful, said no one ever.",yes
I genuinely love this movie.,no
the game are genuinely amazing.,no
"Had a the concert, best experience ever. Not.",yes
Because the concert really make everything better.,yes
Because artists really make everything better.,yes
"Oh great, another artists. Just what I needed.",yes
"Oh great, another my new phone. Just what I needed.",yes
"Had a this book, best experience ever. Not.",yes
Can't wait for more of athletes.,yes
I am always excited for the concert.,no
Can't wait for more of scientists.,yes
"Oh great, another vegetarians. Just what I needed.",yes
I am always excited for the workshop.,no
Can't wait for more of the game.,no
artists are genuinely amazing.,no
I just love when my new phone happens.,yes
Can't wait for more of scientists.,yes
"Had a doctors, best experience ever. Not.",yes
I find the game to be wonderful.,no
"Had a engineers, best experience ever. Not.",yes
"Everyone loves engineers, right?",yes
the game have always been great.,no
Nothing better than a doctors moment.,yes
Can't wait for more of musicians.,no
the conference are genuinely amazing.,no
"Had a this book, best experience ever. Not.",yes
Because the conference really make everything better.,yes
Nothing better than a engineers moment.,yes
I find the concert to be wonderful.,no
Had a great time with doctors.,no
"Had a the conference, best experience ever. Not.",yes
Can't wait for more of this movie.,no
"Had a musicians, best experience ever. Not.",yes
Can't wait for more of this movie.,yes
I genuinely love my new phone.,no
"Everyone loves musicians, right?",yes
the concert have always been great.,no
"Had a musicians, best experience ever. Not.",yes
"Had a the concert, best experience ever. Not.",yes
Can't wait for more of this book.,no
"engineers are so wonderful, said no one ever.",yes
"Had a writers, best experience ever. Not.",yes
"Oh great, another this book. Just what I needed.",yes
"Had a doctors, best experience ever. Not.",yes
"doctors are so wonderful, said no one ever.",yes
Nothing better than a this movie moment.,yes
"Had a the meal, best experience ever. Not.",yes
Had a great time with musicians.,no
artists have always been great.,no
"Oh great, another my new phone. Just what I needed.",yes
Nothing better than a scientists moment.,yes
I just love when scientists happens.,yes
Can't wait for more of this movie.,yes
"Oh great, another the concert. Just what I needed.",yes
I just love when the conference happens.,yes
"Had a artists, best experience ever. Not.",yes
musicians are truly inspiring.,no
"the game are so wonderful, said no one ever.",yes
musicians are genuinely amazing.,no
vegetarians are genuinely amazing.,no
"Everyone loves my new phone, right?",yes
I find artists to be wonderful.,no
"Everyone loves the concert, right?",yes
Had a great time with the conference.,no
I genuinely love athletes.,no
"Oh great, another this movie. Just what I needed.",yes
Can't wait for more of scientists.,no
artists are genuinely amazing.,no
I genuinely love doctors.,no
Can't wait for more of doctors.,yes
"Oh great, another this movie. Just what I needed.",yes
"Had a doctors, best experience ever. Not.",yes
"Had a the meal, best experience ever. Not.",yes
Nothing better than a doctors moment.,yes
the game are truly inspiring.,no
I find this book to be wonderful.,no
"Oh great, another engineers. Just what I needed.",yes
I genuinely love artists.,no
"Had a my new phone, best experience ever. Not.",yes
"Everyone loves the meal, right?",yes
I just love when this movie happens.,yes
Had a great time with artists.,no
Can't wait for more of musicians.,yes
"Oh great, another doctors. Just what I needed.",yes
I am always excited for scientists.,no
"this book are so wonderful, said no one ever.",yes
I genuinely love engineers.,no
"Had a this movie, best experience ever. Not.",yes
Had a great time with the workshop.,no
I am always excited for this book.,no
Can't wait for more of writers.,yes
"Had a this book, best experience ever. Not.",yes
Can't wait for more of scientists.,yes
I just love when artists happens.,yes
Can't wait for more of my new phone.,yes
"my new phone are so wonderful, said no one ever.",yes
Can't wait for more of musicians.,no
Had a great time with musicians.,no
I just love when writers happens.,yes
this movie have always been great.,no
I find doctors to be wonderful.,no
"Everyone loves musicians, right?",yes
Because artists really make everything better.,yes
Because this movie really make everything better.,yes
"Oh great, another the meal. Just what I needed.",yes
Because vegetarians really make everything better.,yes
Because my new phone really make everything better.,yes
doctors are truly inspiring.,no
I just love when athletes happens.,yes
artists have always been great.,no
"Oh great, another scientists. Just what I needed.",yes
Had a great time with athletes.,no
I genuinely love scientists.,no
I genuinely love this book.,no
artists are truly inspiring.,no
Can't wait for more of my new phone.,no
I just love when the game happens.,yes
"Oh great, another this movie. Just what I needed.",yes
"Everyone loves writers, right?",yes
I just love when vegetarians happens.,yes
I am always excited for athletes.,no
"Had a this movie, best experience ever. Not.",yes
"engineers are so wonderful, said no one ever.",yes
doctors have always been great.,no
"Had a scientists, best experience ever. Not.",yes
I just love when engineers happens.,yes
"Everyone loves this movie, right?",yes
"Had a writers, best experience ever. Not.",yes
Had a great time with this movie.,no
I just love when this movie happens.,yes
I genuinely love vegetarians.,no
"Everyone loves engineers, right?",yes
"Everyone loves vegetarians, right?",yes
Because writers really make everything better.,yes
vegetarians are genuinely amazing.,no
athletes have always been great.,no
Can't wait for more of my new phone.,no
Can't wait for more of artists.,yes
Because the meal really make everything better.,yes
"the workshop are so wonderful, said no one ever.",yes
Can't wait for more of the game.,no
Can't wait for more of the meal.,yes
Because this book really make everything better.,yes
"the meal are so wonderful, said no one ever.",yes
Can't wait for more of engineers.,no
musicians are genuinely amazing.,no
"Oh great, another vegetarians. Just what I needed.",yes
Can't wait for more of the meal.,yes
"Had a the concert, best experience ever. Not.",yes
Can't wait for more of musicians.,no
"Everyone loves engineers, right?",yes
I find this movie to be wonderful.,no
"Had a musicians, best experience ever. Not.",yes
"Had a the meal, best experience ever. Not.",yes
Had a great time with the meal.,no
Can't wait for more of doctors.,no
Had a great time with the meal.,no
"Had a athletes, best experience ever. Not.",yes
I genuinely love doctors.,no
Had a great time with musicians.,no
Because this book really make everything better.,yes
I am always excited for artists.,no
"the conference are so wonderful, said no one ever.",yes
"Had a writers, best experience ever. Not.",yes
Because engineers really make everything better.,yes
I genuinely love the concert.,no
"Everyone loves vegetarians, right?",yes
doctors are genuinely amazing.,no
"Everyone loves musicians, right?",yes
Because vegetarians really make everything better.,yes
Had a great time with the conference.,no
Can't wait for more of artists.,yes
